"","GARCH","EGARCH","GJR","RV"
"2013-10-06",1.67625357211964,1.82887421754441,1.64507116962247,1.52067323641469
"2013-10-13",1.52470463526329,1.64943410067416,1.52412806631101,2.70726049399063
"2013-10-20",1.45638280230613,1.51768862359917,1.43576614240358,1.85245751759403
"2013-10-27",1.80071906234051,1.47930765819788,1.39959381174383,0.921835172047408
"2013-11-03",1.67664459351539,1.38770062696789,1.34545496193897,0.893699634699353
"2013-11-10",1.52547027302236,1.28431008115539,1.30188480955153,1.98173356458094
"2013-11-17",1.43141460941783,1.21637713756335,1.27207332344237,1.05924182196753
"2013-11-24",1.54081569663025,1.20327405719311,1.26392338638081,1.10095631369428
"2013-12-01",1.43228669536212,1.14454810657383,1.24427841648792,0.289803398062758
"2013-12-08",1.33948732541735,1.0839776152793,1.22955707517757,1.27726417368662
"2013-12-15",1.270445963047,1.04271200953646,1.21945389247571,1.25401660065808
"2013-12-22",1.47052419236706,1.5978215619435,1.66032540025336,1.85847577619164
"2013-12-29",1.80786492401488,1.54216681883581,1.56338357645315,0.769002907376794
"2014-01-05",1.7412638220486,1.45302498450312,1.47037212924615,0.97465564525507
"2014-01-12",1.59732260804479,1.48945536074745,1.44196236843414,0.696877980661195
"2014-01-19",1.49342373222178,1.38510812177558,1.37408989641274,1.78759492778226
"2014-01-26",1.3885616647571,1.33368803025638,1.32951974032017,2.30823424238369
"2014-02-02",1.85581576052854,2.23425360342132,2.23148713877057,1.82832494969507
"2014-02-09",1.67688545794257,2.0557847391684,1.99859378980022,3.0380560066488
"2014-02-16",1.5759011310051,1.83536111778892,1.79721346896479,1.3421645277788
"2014-02-23",1.83677990427561,1.72273063101076,1.66347179373329,0.91672062987203
"2014-03-02",1.64972335388104,1.58156622201709,1.53972298829944,0.848183148540349
"2014-03-09",1.62675213538966,1.48394754775235,1.45275530816819,1.69611269725079
"2014-03-16",1.56543139694585,1.39625844393946,1.38553023667247,1.31448782805992
"2014-03-23",1.7417192125728,1.95971164032988,1.89884148468841,1.50337488729006
"2014-03-30",1.71389542035688,1.78290879636696,1.72552529165849,1.08392692883403
"2014-04-06",1.57108531233074,1.72546103042133,1.61745389107631,1.67352636041884
"2014-04-13",1.4574013271049,1.56412251719897,1.50332729966238,2.80191802971695
"2014-04-20",1.89794731188432,2.36134635249945,2.31600765376758,1.49348853956238
"2014-04-27",2.14904875167836,2.13714563387999,2.07040966747703,1.02378729878858
"2014-05-04",1.89440937548306,1.88796507215377,1.8511630602021,0.661530463892675
"2014-05-11",1.75693110786921,1.71147245438482,1.68447757605629,1.09809616704675
"2014-05-18",1.5880312484313,1.57600997277337,1.55607451615387,1.47480424441912
"2014-05-25",1.4568465563875,1.43981067778108,1.45670432343412,1.20876306837243
"2014-06-01",1.48132313483166,1.36920041350564,1.39092742452979,0.830227454688707
"2014-06-08",1.49917009562848,1.31284745657579,1.34315512536244,0.823804488805312
"2014-06-15",1.53813317991283,1.27278175647013,1.31072487885293,0.859661463731639
"2014-06-22",1.45846487485889,1.39127142663321,1.35935998098849,0.831574251693237
"2014-06-29",1.51798552394213,1.33720263512135,1.3228797442584,0.840258251111363
